# ------------------------------------[ ОБНОВЛЕНИЕ]--------------------------------------
# Название: The Block List Project - Список порнофильмов
# Общее количество сетевых фильтров: 500280
# ------------------------------------[ ПОДДЕРЖКА]-------------------------------------
# Вы можете поддержать с помощью:
# - сообщение о ложных срабатываниях
# - внесение пожертвования: https://paypal.me/blocklistproject
# -------------------------------------[ ИНФОРМАЦИЯ]---------------------------------------
#
# Список порнофильмов
# ------------------------------------[ ФИЛЬТРЫ]-------------------------------------
0.0.0.0 0----q.tumblr.com
0.0.0.0 0--liamariejohnson--0.nedrobin.net
0.0.0.0 0-0-adult-superstore.com
0.0.0.0 0-0wearingglassesnakedmen.tumblr.com
0.0.0.0 0-200.com
0.0.0.0 0-800-go-fuck-yourself.tumblr.com
0.0.0.0 0-adultfriendfinder.com
0.0.0.0 0-baise-amateur.com
0.0.0.0 ✓ 0.0.0.0 0-decadent-0.tumblr.com
0.0.0.0 0-dix.com
